encoding,workflow,energy,runtime
Penalty-Based,QAOA,-59.68333333333334,3.120684862136841
Penalty-Based,QAOA,-59.71666666666667,0.032263994216918945
Penalty-Based,QAOA,-59.46666666666667,0.017865419387817383
Penalty-Based,QAOA,-49.88333333333333,0.017128944396972656
Penalty-Based,QAOA,-49.96666666666667,0.030245065689086914
Penalty-Based,QAOA,-59.71666666666667,0.01755213737487793
Penalty-Based,QAOA,-28.866666666666667,0.017653703689575195
Penalty-Based,QAOA,153.3,0.12596821784973145
Penalty-Based,QAOA,153.3,0.12223601341247559
Penalty-Based,QAOA,0.0,0.12148928642272949
Penalty-Based,HYBRID,727.25,0.12700390815734863
